R,G,B,Clear,Lux,Color_Temp_K
171,55,61,3645,65354,570
171,55,61,3561,65353,47386
171,55,61,3576,65352,44647
171,55,62,3444,65352,20106
173,55,62,2971,65358,40543
174,55,63,2945,65359,38833
174,55,63,2936,65359,36717
174,55,63,2995,65359,41973
174,55,63,2917,65360,33515
173,55,62,3057,65361,54247
