R,G,B,Clear,Lux,Color_Temp_K
70,100,80,2357,715,6388
70,100,80,2350,711,6382
70,100,80,2353,714,6360
70,100,80,2355,713,6375
70,100,79,2322,705,6329
70,100,79,2307,701,6309
70,100,79,2300,698,6309
70,100,79,2302,699,6316
