R,G,B,Clear,Lux,Color_Temp_K
122,118,71,3133,1167,3527
122,118,71,3163,1179,3534
122,118,71,3150,1173,3535
122,118,71,3143,1173,3524
122,118,71,3134,1171,3520
122,118,71,3154,1179,3518
122,118,71,3166,1182,3516
122,118,71,3173,1183,3521
122,118,71,3185,1187,3524
122,118,71,3167,1182,3512
122,118,71,3164,1182,3510
122,118,71,3167,1183,3506
122,118,71,3167,1182,3507
