R,G,B,Clear,Lux,Color_Temp_K
91,90,70,1318,317,4683
91,90,70,1322,318,4697
90,90,70,1334,324,4732
90,90,70,1327,321,4710
89,90,70,1387,338,4811
88,90,70,1430,347,4848
87,91,70,1451,360,4962
87,91,70,1448,360,4959
