R,G,B,Clear,Lux,Color_Temp_K
57,105,92,1056,330,8561
57,104,92,1039,323,8608
57,104,91,1027,319,8566
58,104,91,1005,310,8587
58,104,91,991,306,8542
58,104,91,986,305,8526
58,104,91,982,303,8567
58,104,91,978,302,8551
58,104,91,972,300,8536
58,104,91,966,298,8576
58,104,91,959,295,8546
58,104,91,958,295,8546
58,103,91,949,292,8499
58,103,91,940,288,8510
58,103,91,942,289,8525
58,103,91,943,289,8525
58,103,91,937,286,8552
58,103,91,940,288,8510
58,103,90,939,287,8509
58,103,91,937,286,8552
58,103,91,937,287,8509
58,103,91,932,284,8536
58,103,90,931,285,8477
58,103,90,931,285,8477
58,103,90,928,285,8476
