R,G,B,Clear,Lux,Color_Temp_K
153,144,128,2345,774,5763
153,144,128,2355,778,5779
153,145,129,2377,788,5822
154,145,129,2394,793,5812
153,145,129,2396,793,5803
153,144,128,2400,792,5780
153,143,127,2419,794,5707
153,144,128,2435,801,5762
153,144,128,2417,797,5757
154,145,129,2452,811,5824
154,145,130,2491,823,5866
155,146,130,2518,833,5875
155,146,131,2560,846,5891
