R,G,B,Clear,Lux,Color_Temp_K
166,57,57,5008,65436,21431
166,57,57,4980,65431,42456
167,57,58,4842,65410,14016
167,56,58,4769,65401,47570
164,57,56,5249,65471,19344
164,58,56,5242,65495,26871
166,56,57,4952,65407,24480
163,58,52,5847,23,2105
168,56,46,6679,14,2171
168,57,58,4894,65393,35118
