R,G,B,Clear,Lux,Color_Temp_K
75,98,72,1475,456,5311
75,98,71,1469,451,5280
76,98,71,1463,449,5250
76,98,71,1449,443,5220
78,98,71,1422,431,5099
79,98,71,1447,438,5080
2,5,9,148,78,9505
2,5,0,148,191,2425
2,5,0,148,191,2425
2,5,0,148,191,2425
