R,G,B,Clear,Lux,Color_Temp_K
156,146,132,2858,926,6051
156,146,133,2695,877,6018
157,146,134,2835,920,6096
158,147,134,2814,918,6042
158,147,134,2756,901,6011
160,148,134,2774,910,5989
163,150,136,2771,916,5930
164,150,137,2817,930,5955
164,151,138,2849,944,5970
165,152,139,2880,955,6008
166,152,139,2954,981,6024
166,153,140,2995,994,6031
166,152,140,2941,975,6046
