R,G,B,Clear,Lux,Color_Temp_K
190,41,40,408,65494,17614
190,41,40,402,65496,46059
189,42,40,400,65497,52881
190,41,40,404,65496,41835
189,41,40,400,65496,21619
189,41,40,396,65498,50055
190,41,40,410,65495,40354
191,40,39,431,65491,25714
191,41,40,427,65492,30543
192,41,39,428,65492,27283
193,40,39,432,65490,21233
192,40,39,431,65491,24184
192,40,39,430,65491,25714
193,40,39,437,65489,14443
192,40,39,432,65491,22690
193,40,39,434,65490,18421
194,39,39,440,65487,63375
193,40,39,437,65488,1936
194,39,39,440,65487,63375
193,40,39,438,65488,65380
193,39,39,441,65487,63375
196,38,38,471,65480,51844
196,39,38,470,65481,52573
196,38,38,474,65479,49734
196,39,38,467,65482,54842
