R,G,B,Clear,Lux,Color_Temp_K
64,107,74,1089,400,5638
65,108,74,1062,395,5564
64,106,75,1134,408,5777
64,106,75,1139,409,5780
64,105,76,1195,421,5895
63,104,77,1275,438,6071
63,104,77,1244,432,6020
63,105,76,1238,431,5985
63,105,76,1233,429,5993
63,105,76,1236,430,5996
63,105,76,1209,425,5925
64,105,76,1183,419,5876
64,106,75,1147,412,5778
64,106,75,1137,407,5782
64,106,75,1131,407,5765
64,106,75,1139,409,5783
64,106,75,1129,406,5754
64,106,75,1135,409,5758
64,106,75,1128,407,5733
64,106,75,1123,405,5748
64,106,75,1126,406,5751
64,106,75,1128,407,5733
64,106,75,1119,405,5715
64,106,75,1124,407,5730
64,106,75,1119,405,5715
